Startdatum,Starttid,Slutdatum,Sluttid,Subject,Description,Location,Private
2024-09-27,08:15,2024-09-27,10:00,"9AMA57,TATA65 Föreläsning (A2)","Information till student: <br/>Lokal: A2<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Carl Johan Casselgren",,True
2024-09-27,13:15,2024-09-27,15:00,TDDE25 Föreläsning (A1),"Information till student: <br/>Lokal: A1<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Olaf Hartig",,True
2024-09-27,15:15,2024-09-27,17:00,TDDE23 Laboration (SU02),Information till student: <br/>Lokal: SU02<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: ,,True
2024-09-27,15:15,2024-09-27,17:00,TDDE23 Laboration (SU03),Information till student: <br/>Lokal: SU03<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 3<br/>Lärare: ,,True
2024-09-30,08:15,2024-09-30,10:00,TATA65 Lektion (U4),Information till student: <br/>Lokal: U4<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Erik Darpö,,True
2024-09-30,10:15,2024-09-30,12:00,TDDE23 Laboration (SU00),Information till student: <br/>Lokal: SU00<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 2<br/>Lärare: ,,True
2024-09-30,10:15,2024-09-30,12:00,TDDE23 Laboration (SU01),Information till student: <br/>Lokal: SU01<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 4<br/>Lärare: ,,True
2024-09-30,13:15,2024-09-30,15:00,TDDE25 Föreläsning (A1),"Information till student: <br/>Lokal: A1<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Christoph Kessler",,True
2024-10-01,10:15,2024-10-01,12:00,TATA65 Lektion (KY31),Information till student: <br/>Lokal: KY31<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Erik Darpö,,True
2024-10-01,13:15,2024-10-01,15:00,TDDE23 Seminarium (U11),"Information till student: <br/>Lokal: U11<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-01,13:15,2024-10-01,15:00,TDDE23 Seminarium (U14),"Information till student: <br/>Lokal: U14<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-01,13:15,2024-10-01,15:00,TDDE23 Seminarium (U15),"Information till student: <br/>Lokal: U15<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-01,13:15,2024-10-01,15:00,TDDE23 Seminarium (U3),"Information till student: <br/>Lokal: U3<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-01,13:15,2024-10-01,15:00,TDDE23 Seminarium (U4),"Information till student: <br/>Lokal: U4<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-10-01,15:15,2024-10-01,17:00,TDDE23 Laboration (SU04),Information till student: <br/>Lokal: SU04<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: ,,True
2024-10-01,15:15,2024-10-01,17:00,TDDE23 Laboration (SU14),Information till student: <br/>Lokal: SU14<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 3<br/>Lärare: ,,True
2024-10-02,08:15,2024-10-02,10:00,TDDE25 Föreläsning (A1),"Information till student: <br/>Lokal: A1<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Christoph Kessler",,True
2024-10-02,13:15,2024-10-02,15:00,"9AMA57,TATA65 Föreläsning (A2)","Information till student: <br/>Lokal: A2<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Carl Johan Casselgren",,True
2024-10-02,15:15,2024-10-02,17:00,TATA65 Mentorsmöte (R18),Information till student: <br/>Lokal: R18<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: Elias Johansson,,True
2024-10-02,15:15,2024-10-02,17:00,TATA65 Mentorsmöte (R27),Information till student: <br/>Lokal: R27<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 2<br/>Lärare: Shayan Kharaghani,,True
2024-10-03,10:15,2024-10-03,12:00,TDDE23 Laboration (SU17/18),"Information till student: <br/>Lokal: SU17/18<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 2,Grupp 4<br/>Lärare: ",,True
2024-10-03,15:15,2024-10-03,17:00,TATA65 Lektion (U14),Information till student: <br/>Lokal: U14<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Erik Darpö,,True
2024-10-04,15:15,2024-10-04,17:00,TDDE23 Laboration (SU04),Information till student: <br/>Lokal: SU04<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: ,,True
2024-10-04,15:15,2024-10-04,17:00,TDDE23 Laboration (SU10),Information till student: <br/>Lokal: SU10<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 3<br/>Lärare: ,,True
2024-10-07,08:15,2024-10-07,10:00,"9AMA57,TATA65 Föreläsning (A1)","Information till student: <br/>Lokal: A1<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Carl Johan Casselgren",,True
2024-10-07,10:15,2024-10-07,12:00,TDDE23 Laboration (SU00),Information till student: <br/>Lokal: SU00<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 2<br/>Lärare: ,,True
2024-10-07,10:15,2024-10-07,12:00,TDDE23 Laboration (SU01),Information till student: <br/>Lokal: SU01<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 4<br/>Lärare: ,,True
2024-10-07,13:15,2024-10-07,15:00,TDDE25 Föreläsning (VAL1),"Information till student: <br/>Lokal: VAL1<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Daniel Varro",,True
